Actor,Age,Networth,Alias
Robert Downey Jr.,54,$300 million,Iron Man
Gwyneth Paltrow,46,$140 million,Pepper Potts
Scarlett Johansson,34,$140 million,Black Widow
Samuel L. Jackson,70,$220 million,Nick Fury
Chris Hemsworth,36,$90 million,Thor
Natalie Portman,38,$60 million,Jane Foster
Tom Hiddleston,38,$20 million,Loki
Chris Evans,38,$50 million,Captain America
Sebastian Stan,37,$4 million,Bucky
Mark Ruffalo,51,$30 million,HULK
Jeremy Renner,48,$50 million,Hawkeye
Chris Pratt,40,$40 million,Starlord
Zoe Saldana,41,$20 million,Gamora
Dave Bautista,50,$13 million,Drax
Paul Rudd,50,$30 million,Ant Man
Evangeline Lilly,40,$15 million,Wasp
Elizabeth Olsen,30,$5 million,Scarlett Witch
Chadwick Boseman,41,$8 million,Black Panther
Benedict Cumberbatch,43,$30 million,Dr. Strange
Tom Holland,23,$4 million,Spiderman
Zendaya,23,$5 million,Mary Jane
